"AAPL",108.480,44780600,108.470,23.134,-2.495,"USD",108.121,110.420,92.000,134.540,601.39B,108.465,102.801,107.594,"Apple Inc.",110.000,110.960,"-2.249%","4/7/2016","3:44pm",26271592,"NMS",1.870,2.080,9.397,9.060,10.000,1.780,82.79B,2.618,4.796,"2/4/2016",11.543,"2/11/2016",1.050,1.470,134.210
"TWTR",16.990,24522100,16.980,6.410,-0.305,"USD",16.850,17.590,13.910,52.990,11.55B,16.955,17.355,22.292,"Twitter, Inc. Common Stock",16.880,17.260,"-1.767%","4/7/2016","3:44pm",20596975,"NYQ",N/A,N/A,-0.790,0.550,0.790,0.120,-124.31M,5.303,2.693,N/A,N/A,N/A,0.660,2.190,20.840
